Project: Project Number,,Actual Start Date,Actual Completion Date,Benefit: Benefit Name,Benefit Type,Annual Cost Savings,Electric Savings,District Steam Savings,Fuel Oil Savings,Natural Gas Savings,Propane Savings,Peak Demand Reduction,Project Type,Benefit Narrative
1292,Southwestern Vermont Medical Center Chiller RCx,4/10/2018,11/30/2019,AHU Unoccupied Programming,Energy Savings,18933,82655,,,,,,Retrocommissioning,"AHU-1 and AHU-2 do not currently have any airflow setback schedules, and the spaces served by them have no temperature setback schedules. A setback for these air handlers and associated spaces can be accomplished by programming an occupied / unoccupied schedule and engineering a system with occupancy sensors so the users do not have to activate it manually should the need to use the ORs and associated spaces arise during off hours. In addition, a wall mounted manual override button would be included in each OR and perhaps at the nurses? station(s) as a fail-safe. The occupancy command of the air handlers would be tied together, so the OR suite (AHU-2) could never go into an occupied mode without also enabling the occupied mode of AHU-1 and vice versa.Action: Develop an unoccupied sequence for the OR suite and surgical services areas and engineer system for detecting occupancy in operating rooms. After engineering is complete, implement unoccupied sequences, and schedule unoccupied times through schedule settings on BAS."
1293,Montpelier Police Department RCx,3/27/2017,7/31/2017,ASHRAE 36 Control Damper Operations,Energy Savings,3616,27049,,,,,,Retrocommissioning,"It was observed during the development investigation that several of the air handlers had fan speeds that were higher during minimum outside air mode than when in an economizer mode. This indicates that there was likely a restriction on the fan system during minimum outside air mode due to the control damper positions. The ASHRAE Guideline 36 mixing box sequence can reduce the external pressure on the fan system due to the control dampers. This sequence will yield fan energy savings when the AHU is in minimum outside air mode.Outdoor airflow stations are required to implement this sequence. An added benefit of outdoor air flow stations is that they also provide monitoring and trending of AHU OA CFM.Action:
1. Install outdoor air flow stations (AFS) to control, monitor, and trend AHU OA CFM.
2. Reprogram AHU control damper sequences to use installed air flow stations to maintain verified minimum outside air CFM."
1294,Northwestern Medical Center AHU 1-9 RCx,3/15/2017,12/31/2018,Face/Bypass Damper Operation,Energy Savings,,,,,,,,Retrocommissioning,It was observed that no energy savings will be associated with this measure. This measure is currently being implemented with the first phase of RCx measures as it was part of the new economizer control and temperature control sequences being implemented with that phase of work.
1297,MMC Bramhall Campus Cx,4/15/2017,3/31/2025,Unnecessary or redundant MERV air filters in AHUs,Energy Savings; First Cost; O&M,18990,123000,,,,,,MEP Cx,"?	Unnecessary or redundant MERV air filters within AHUs can significantly reduce energy efficiency and increase O&M burden with no additional benefits to air quality. Cx Associates identified unnecessary intermediate MERV air filters in the design of every AHU"
1297,MMC Bramhall Campus Cx,4/15/2017,3/31/2025,Change three-way valves in CRAC units to two-way,Energy Savings,13945,107266,,,,,,MEP Cx,We suggested changing three-way valves in CRAC units to two-way
1297,MMC Bramhall Campus Cx,4/15/2017,3/31/2025,Reduce design water pressure drop through chiller,Energy Savings,,25000,,,,,,MEP Cx,"During design review for the new Central Utility Plant (CUP) chiller, Cx Associates identified an opportunity to improve energy efficiency by reducing the design water pressure drop through the condenser and evaporator of the new 2000 Ton chiller.  The chiller was reselected by the design team and combined pressure drop was reduced by approximately 10 ft, which results in an estimated annual pumping energy savings of 25,000 kWh."
1298,BED Engineering Support 2017-2018,4/1/2017,8/30/2019,Return Pump Operation to AUTO and Release BAS Oerrides,Energy Savings,283,2106,,,,,,Efficiency Consulting,"While reviewing BAS functionality, we found that the pump serving Zone 8 (P-37) was showing a status of ON even though it was commanded OFF, indicating the pump is operating in HAND. Additionally, the zone valve position for Zone 6 was found to be overridden to 20%. . This issue may also be related to the fact that the Zone 8 controlling sensor is actually located in Zone 9 (Issue #7)."
1299,Fanny Allen CSR Pressure Compliance,4/21/2017,9/30/2017,Replace Damaged Snowmelt Sensor,Energy Savings,7762,3043,,,,,,Problem Solving,"Functional testing was performed to confirm proper snowmelt sensor operation by spraying sensors with water and observing whether sensor status changed from ?Dry? to ?Wet? in the BAS. All sensors were found to be functioning properly except for the sensor for Zone 9, which was reading as ?Wet? regardless of the actual conditions. This would cause the zone to always operate in snowmelt mode whenever the system is enabled, leading to increased pump operation and propane consumption."
1300,Maine Medical Center 2017 JC Compliance,5/3/2017,9/30/2017,Reduce Snowmelt Mode Slab Temperature Setpoints,Energy Savings,3043,,,,,,,Problem Solving,"During review of BAS settings, we discovered that two of the zones (Zone 8 and Zone 9) had elevated snowmelt mode slab temperature setpoints of 70°F and 60°F respectively. Again, this is likely related to the issue regarding improper sensor location for Zone 8. At some point during the winter, the building operator manually adjusted the setpoints in the BAS in an effort to clear any snow from the zone surfaces. These setpoints should be lowered to 45°F, similar to the other zones."
1301,FCM 2016,6/1/2017,6/27/2018,Replace Missing Roof Mainfold Cabinet Door and Bleached Piping,Energy Savings,0,,,,,,,Eval / Measurement and Verification (EM&V),"The cabinet containing one of the roof zone supply manifolds is missing its door, resulting in exposure to sunlight and bleached piping. PEX tubing typically has a sunlight exposure rating of 20 hours, so the integrity of these pipes is most likely compromised."
1302,VTC SHAPE Fitness & Campus Center Phase 2 RCx,5/22/2017,8/10/2018,Reduce Excessive Outside Air Flow,Energy Savings,5223,1820,,,,,,Retrocommissioning,"Currently, the AHUs serving the campus center are programmed to introduce a minimum outside airflow whenever the spaces are occupied and will increase outside air if necessary to maintain CO2 levels below 900 ppm. However, most of the units appear to be introducing excessive amounts of outside air, resulting in unnecessary conditioning of supply air. Recommend ensuring that only the minimum necessary outside aire required for ventilation is being introduced."
1302,VTC SHAPE Fitness & Campus Center Phase 2 RCx,5/22/2017,8/10/2018,Optimize Gym AHU Operation,Energy Savings,2088,16682,,,,,,Retrocommissioning,"The following issues were observed for the air handling unit serving the gymnasium: The supply and return fans on the gym air handling unit are equipped with variable frequency drives (VFDs), but are currently operated manually as constant speed fans; The AHU is currently in occupied mode 24/7; The outside air sensor is out of calibration and consistently reading 10-20°F higherthan actual. This is preventing the unit from taking advantage of free cooling in economizer mode; Several control points are manually overridden in the BAS, including supply and return fan commands, outside air damper position, and outside air temperature. Reccomendation is to apply an occupancy schedule to the gym AHU and operate the unit as a single zone variable air volume system under automatic control."
1302,VTC SHAPE Fitness & Campus Center Phase 2 RCx,5/22/2017,8/10/2018,Optimize Pool AHU Operation,Energy Savings,3082,30381,,,,,,Retrocommissioning,"The pool air handling unit supplies conditioned air to the natatorium to maintain temperature and relative humidity setpoints. Humidity can be controlled to the extent possible by varying the amount of outside air introduced, but there is no mechanical dehumidification present. Currently, the supply fan operates at 100% speed at all times regardless of the actual load, while the return fan speed is set to 35.5 Hz (59%).When conditions allow, reduce supply and return flow while maintaining appropriate conditions in the natatorium. As recommended by ASHRAE3, supply a minimum of 4-6 air changes per hour (ACH) and maintain pool room at slightly negative pressure in order to prevent chloramine odor migration to adjacent spaces. From our calculations, a supply fan speed of 70% corresponds to around six (6) ACH."
1302,VTC SHAPE Fitness & Campus Center Phase 2 RCx,5/22/2017,8/10/2018,Reduce Pool Pump Water Flow,Energy Savings,880,7031,,,,,,Retrocommissioning,"The 15-horsepower pool filter pump  operates at 48 Hz (80% speed, 7.7 kW) continuously 24/7. The fixed speed was presumably set at the time of VFD installation in order to meet minimum required water exchange rates, and saves significant energy compared to operating the pump at full speed.  Consider reducing the pool filter pump speed to 66% speed (40 Hz) at night when the pool is unoccupied. Contaminant load is much lower when there are no occupants in the pool, and a slightly reduced water turnover rate during these times should not significantly impact water quality. Building operators could experiment with different speeds and unoccupied durations in order to arrive at an optimal configuration and maximize potential savings."
1302,VTC SHAPE Fitness & Campus Center Phase 2 RCx,5/22/2017,8/10/2018,Install Swimming Pool Cover,Energy Savings,5352,,,,,,,Retrocommissioning,"Currently, the pool stays uncovered when not in use, resulting in significant evaporation and associated heat loss, along with increased humidity in the natatorium. Recommend installing a pool cover and establishing a daily procedure for covering and uncovering the pool."
1302,VTC SHAPE Fitness & Campus Center Phase 2 RCx,5/22/2017,8/10/2018,Budget for Replacement of Corroded Snowmelt Sensors,Energy Savings,0,,,,,,,Retrocommissioning,"We observed that several snowmelt sensors are suffering from corrosion. While the sensors were operating properly at the time of our site visit, they may cease functioning at any time and should be replaced soon."
1304,UVM Kalkin Hall Renovations and Additions Cx,6/1/2017,9/30/2019,Permorm Rebalancing of System,Energy Savings,0,,,,,,,Commissioning,Facilities staff indicated that the snowmelt system suffers from balancing and flow issues. System balancing will ensure that all zones receive the required flow.
1305,Burton RCx,6/8/2017,10/31/2017,Optimize Control Sequence for Pump P-21,Energy Savings,1176,8736,,,,,,Retrocommissioning,"The pump serving the snowmelt loop header is equipped with a VFD and designed to modulate speed to maintain a return water temperature of 125°F. However, a trend data review showed that the pump speed does not appear to be modulating appropriately. This will be investigated further during the Development Phase, and a new sequence of operations will be written and implemented, potentially controlling pump speed based on differential pressure rather than return water temperature."
1306,Jay Peak Energy Efficiency Measures,6/8/2017,5/25/2018,Clean Air Handling Equipment Filters,Energy Savings,200,1700,,,,,,Retrocommissioning,"Kitchen MAU are extremly dirty filters but BAS was indicating they are clean, sugginting that the BAS filter pressure switch is broken or out of callibration. Recommend perforing preventative maintenance check, including changing the filters on the MAU and ERV."
1306,Jay Peak Energy Efficiency Measures,6/8/2017,5/25/2018,Rebalance ERV and MAU,Energy Savings,400,3300,,,,,,Retrocommissioning,"The MAU was activly bypassing the heat exchanger core, however, the graphic showed it not in bypass. The locker room ventilation appears to be poor due to the ERV running at a very low speed. The odor in the rooms was very prominent and there is condensation on t he doors, sugessing the humidity and room air changes might be poorly controled. Recomend rebalancing ERV to improve i ndoor air quality in locker rooom and prevent condensation on doors."
1306,Jay Peak Energy Efficiency Measures,6/8/2017,5/25/2018,3rd Floor Thermostat Repair,Energy Savings,1000,-2500,,,,,,Retrocommissioning,Rooms on the third floor were designed to have one thermostat control (2x) heat pumps. This results in the thermostats being parallel wired to both heat pumps. This caused fuses to blow in the heat pumps because two independent 24 val control sources were shorted together through the thermostat relays. Recommend that the existing thermostats serving the guest suits need isolation relays added. this measure will reduce runtime on the singular heat pump running t omaintain the load of the two installed heat pumps.
1306,Jay Peak Energy Efficiency Measures,6/8/2017,5/25/2018,4th & 5th Floor Thermostat Replacement,Energy Savings,900,1700,,,,,,Retrocommissioning,Poor thermostat placement causing the two heat pumps to be able to simultaneously heat and cool the same space.  It is recommeded that the existing thermostats serving the guest bedrooms should be removed and those heat pumps should be interlocked in the same a the 3rd floor using isolation relays.
1306,Jay Peak Energy Efficiency Measures,6/8/2017,5/25/2018,Tower Sensor Well Repair,Energy Savings,400,2600,,,,,,Retrocommissioning,The tower was completely plugged up and had not been cleaned in over a year. The result of that was a poor heat rejection delta (2.5F).  Also found the setpiont were not coordinated with the heat pumps factory requirements. Recommend installing a new well on the return pupe and moving sensors into the new well.
1306,Jay Peak Energy Efficiency Measures,6/8/2017,5/25/2018,Correct the Series Pumping,Energy Savings,300,2500,,,,,,Retrocommissioning,"The high temp heating loop is served by a pair of 3 horsepower pumps. They pump into a modulating three way mixing valve which diverts injects heat into hybrid heat pump loops. During cold weather events, this configuration can result in series pumping , meaning that the outlet of one pump is feeding directly into the inlet of another pump. Recommend modifying the pipe configuraation of the 3 way valve to remove the series pumping situaltion."
1306,Jay Peak Energy Efficiency Measures,6/8/2017,5/25/2018,Repair Broken Sensors,Energy Savings,,,,,,,,Retrocommissioning,The controlling temperature sensor for the cooling tower is improperly installed. It appears that during construction the sensor thermowell was installed in the cooling towere supply pipe but should have been instaled in the return pipe. The sensor was removed and installed in a thermowell for a visual thermometer on the tower return line. The probelm is that the diameter of the thermometers well is much larger than the sensors well and the sensor element is making poor contact with the thermowell. Recommend installing the correct sensor well for the cooling loop in the proper location on the piping.
1306,Jay Peak Energy Efficiency Measures,6/8/2017,5/25/2018,COMPLETED- Cooling Tower Maintenance,Energy Savings,4300,31700,,,,,,Retrocommissioning,
1306,Jay Peak Energy Efficiency Measures,6/8/2017,5/25/2018,Condenser Water Loop Optimization,Energy Savings,11100,22700,,,,,,Retrocommissioning,"This measure would involve developing upgraded control sequences that would provide better temperature control of the Bulldog heat pump condenser loop during shoulder seasons. We suspect that there is a significant opportunity to optimize the loop control to reduce boiler, cooling tower and downstream heat pump runtimes while improving comfort."
1306,Jay Peak Energy Efficiency Measures,6/8/2017,5/25/2018,Thermostat Networking,Energy Savings,11500,42100,,,,,,Retrocommissioning,"This measure develops a guest room thermostat upgrade that would allow the Bulldog heat pumps to be networked. This measure can be developed independently from D-1, however, there will be an increased benefit to developing both measures together.  Cx associates will then design and commission a networked thermostat control solution for the hotel. This solution would allow the guest room thermostats to take advantage of the Maestro integration that is currently in use at Hotel Jay to set back the heat pumps during unoccupied periods. A secondary benefit of this measure will be allowing the central plant to better react to the building demand from the heat pumps in real time. This results in reduced energy consumed by the central plant since it will no longer be anticipating the demand using outside air temperature, but rather the calls for heating and cooling from the heat pumps themselves."
1306,Jay Peak Energy Efficiency Measures,6/8/2017,5/25/2018,Add Occupancy Schedule to BAS for ERV-1,Energy Savings,649,3641,,,,,,Retrocommissioning,No apparent schedule implemented in the BAS to control equipent. Even though ERV-1 supply and exhaust fans are equpped with VFD's they run constantly at 100% speed.
1306,Jay Peak Energy Efficiency Measures,6/8/2017,5/25/2018,Add Occupancy Schedule to BAS for MAU-1,Energy Savings,1629,6965,,,,,,Retrocommissioning,No apparent schedule implemented in the BAS to control equipent. MAU-1 supply fan is overridden to 75% for all hours.
1306,Jay Peak Energy Efficiency Measures,6/8/2017,5/25/2018,Optimize Fan Coil Unit Control,Energy Savings,1026,7626,,,,,,Retrocommissioning,"Adjust fan coil unit controls so that FCU fans shut off during the cooling season rather than running in an attempt to meet cooling setpoints. If cooling will not be added at any point in the future, consider removing DX cooling coils from fan coil units, as they currently serve only to restrict flow and cannot provide cooling."
1306,Jay Peak Energy Efficiency Measures,6/8/2017,5/25/2018,Interlock Room Occupancy Schedules with Booking System,Energy Savings,1763,,,,,,,Retrocommissioning,Interlock Room Occupancy Schedules with Booking System
1306,Jay Peak Energy Efficiency Measures,6/8/2017,5/25/2018,Optimize Exterior Lighting Control,Energy Savings,338,2513,,,,,,Retrocommissioning,Investigate the capabilities of a Winona path lighting controller and potential to optimize exterior lighting control.
1306,Jay Peak Energy Efficiency Measures,6/8/2017,5/25/2018,Optimize Hot Water supply Temperature Reset Control,Energy Savings,882,,,,,,,Retrocommissioning,"The differential pressure in the hot water loop is a fixed value of 13psi. There may be an opportunity to decrease this or permorm a reset based on the number of open valves in the loop. Investigate the potential for optimizing hot water supply temperature reset control to meet the building heating load, shifting the reset schedule down to maximize the hours during which the boilers operate in condensing range."
1306,Jay Peak Energy Efficiency Measures,6/8/2017,5/25/2018,Investigate Large Summer Time Load,Energy Savings,337,2504,,,,,,Retrocommissioning,"The monthly electric energy consumption baseload is aroudnd 10,000kWh with a significant increase during the summer months due to cooling energy use and golf cart battery charging."
1306,Jay Peak Energy Efficiency Measures,6/8/2017,5/25/2018,Insure Proper Exhaust for Batter Charging Area,Energy Savings,165,-1229,,,,,,Retrocommissioning,Ensure exhaust fan (EF-1) and supply fan (SF-1) serving the golf cart storage area operate whenever batteries are charging in order to provide adequate ventilation air.
1306,Jay Peak Energy Efficiency Measures,6/8/2017,5/25/2018,Install CCHP to Supplement Electric Resistance Heat,Energy Savings,4850,40149,,,,,,Retrocommissioning,"The seven existing electric storage heaters can provide approximately 95,000 Btu/h at maximum capacity when the fans are operating to draw heat from the storage core. Through discussion with the manufacturer (Steffes) it was determined that the heaters output approximately 24,000 Btu/h when fully charged and are not actively outputting heat via the internal fan. These findings were used to develop the proposed systems and sequences for the heat pump systems."
1306,Jay Peak Energy Efficiency Measures,6/8/2017,5/25/2018,Interlock Operation of Adjacent Zones,Energy Savings,0,,,,,,,Retrocommissioning,"We found that a couple of the snowmelt zones had their controlling sensors located in an adjacent zone, which caused problems with snowmelt control. One potential solution to ensure that the system operates effectively is to add programming to interlock the operation of zones where this is the case. For example, if the sensor for Zone 2 or Zone 4 detects moisture, then also enable operation for Zone 3. Similarly, if the sensor for Zone 7 or Zone 9 detects moisture, enable operation for Zone 8."
1309,Freedom Foods Retro-Commissioning,7/3/2017,5/31/2020,Reduce VAV Box Minimum Flow Rate,Energy Savings,2461,12120,,,,,,Retrocommissioning,VAV box minimum flow rates were set as high as 80% of the maximum box flow. Unclear why it was set so high. We reccommended reducing minimum flow rates which would result in fan energy savings as well as heating and cooling savings.
1309,Freedom Foods Retro-Commissioning,7/3/2017,5/31/2020,Static Pressure Reset,Energy Savings,1188,7570,,,,,,Retrocommissioning,"Rooftop unit supply fans currently operate to maintain a fixed static pressure of 1.4-1.5 in w.g. at all times. While this static pressure may be necessary during times of peak cooling demand, the s"
1309,Freedom Foods Retro-Commissioning,7/3/2017,5/31/2020,Improve Economizer Operations,Energy Savings,714,4550,,,,,,Retrocommissioning,"Analysis of 15-minute electric interval data suggested that mechanical cooling is operating at outside air temperatures as low as 50°F. The energy recovery wheel bypass dampers in the rooftop units may not be operating properly, resulting in undesirable energy recovery during mild weather. During the Development Phase, we will analyze trend data over a wide range of outside air conditions and perform on-site testing of the RTUs to ensure systems are achieving maximum free cooling potential."
